iso3,year,mu,sigma,n,N_s,N_r,cj_ratio,real_gdp,inflation,unemployment,population,intrest,market_cap,elec_dem,lib_dem
ARG,1997,0.000234361932647604,0.0204394234747809,249,107,142,0.753521126760563,482160,40.6768226623535,16.8080005645752,35.6040000915527,8.8100004196167,59251850000,0.828,0.638
ARG,1998,-0.00191838216018668,0.028907136596469,245,126,119,1.05882352941176,500725,41.0533409118652,14.7889995574951,36.0050010681152,7.53999996185303,45332800000,0.83,0.639
ARG,1999,0.000987847013806004,0.0222617684398276,251,129,122,1.05737704918033,483773,40.5738487243652,16.0610008239746,36.3989982604981,8.19999980926514,55847580000,0.83,0.646
ARG,2000,-0.00111907063194423,0.0182750109091762,249,126,123,1.02439024390244,479956,40.1927185058594,17.1340007781982,36.7840003967285,12.1099996566772,45839340000,0.836,0.676
ARG,2001,-0.00143021018784703,0.0315081758508447,242,121,121,1,458795,39.7654800415039,19.2089996337891,37.1559982299805,,33384000000,0.835,0.682
ARG,2002,0.00246334575321284,0.0320276568573782,234,115,119,0.966386554621849,408812,50.0514831542969,22.4500007629395,37.515998840332,6.63000011444092,16571000000,0.825,0.666
ARG,2003,0.0028670003174262,0.0185887662286711,249,116,133,0.87218045112782,445423,56.7797241210938,17.25,37.8699989318848,1.66999995708466,34994620000,0.81,0.645
ARG,2004,0.000987808208213982,0.0205765161150143,252,116,136,0.852941176470588,485115,59.2862968444824,13.625,38.226001739502,2.5,40593870000,0.804,0.641
ARG,2005,0.000457439850247975,0.015813573389435,252,130,122,1.0655737704918,528056,65.003303527832,11.5749998092651,38.5919990539551,5,47590300000,0.801,0.632
ARG,2006,0.00123542214254257,0.0143697345936267,246,110,136,0.808823529411765,570549,72.0880966186524,10.1750001907349,38.9710006713867,6.25,51240130000,0.789,0.621
ARG,2007,0.000116417902239037,0.0143466575740066,247,130,117,1.11111111111111,621943,78.4536361694336,8.47500038146973,39.3559989929199,10.75,57070160000,0.784,0.617
ARG,2008,-0.00276882169141931,0.0285613196040326,249,138,111,1.24324324324324,647176,85.1880264282227,7.875,39.7459983825684,12.0500001907349,39850360000,0.765,0.593
ARG,2009,0.00313539789408267,0.0224333430806965,244,130,114,1.14035087719298,608873,90.5300521850586,8.67500019073486,40.1339988708496,9.5,45744930000,0.764,0.594
ARG,2010,0.00172561397017204,0.016002698506813,242,114,128,0.890625,670524,100,7.75,40.7879981994629,9.5,63909790000,0.761,0.591
ARG,2011,-0.00147414234129849,0.0191426074873442,243,121,122,0.991803278688525,710782,109.775779724121,7.15000009536743,41.2610015869141,9.5,43579790000,0.762,0.588
ARG,2012,0.000611375103386907,0.0162736016111091,241,123,118,1.04237288135593,703486,120.799453735352,7.19999980926514,41.7330017089844,9.5,34254750000,0.766,0.589
ARG,2013,0.00263904305981281,0.0191331547234022,241,124,117,1.05982905982906,720407,133.627365112305,7.07499980926514,42.2029991149902,9.5,53104790000,0.774,0.594
ARG,2014,0.00192774464780621,0.0278082307446236,241,134,107,1.25233644859813,702306,162.168701171875,7.25,42.6699981689453,26.859899520874,60142040000,0.786,0.604
ARG,2015,0.00127855787122047,0.023724719651447,241,120,121,0.991735537190083,721487,188.235260009766,6.53299999237061,43.1319999694824,33.0009002685547,56134630000,0.776,0.601
ARG,2016,0.00150783878181651,0.0189628082667913,246,117,129,0.906976744186047,706478,249.070770263672,8.4670000076294,43.5900001525879,24.7502994537354,63601116144.457,0.753,0.616
ARG,2017,0.00235385002893727,0.0125122237338181,243,133,110,1.20909090909091,726390,313.019226074219,8.35000038146973,44.0449981689453,28.75,108740050000,0.754,0.612
ARG,2018,0.0000436072802044955,0.0248106894512716,242,112,130,0.861538461538462,707377,420.311950683594,9.19999980926514,44.4949989318848,59.2519989013672,45986050000,0.783,0.637
ARG,2019,0.00130692123157173,0.041552437435173,244,111,133,0.834586466165414,693224,645.382995605469,9.82499980926514,44.9389991760254,55,39393540000,0.788,0.626
ARG,2020,0.000856685865444165,0.0339522233787277,241,122,119,1.02521008403361,624591,916.541015625,11.5500001907349,45.3769989013672,38,32250420000,0.805,0.644
ARG,2021,0.00200237661909098,0.0196257783372488,244,112,132,0.848484848484848,689810,1360.23254394531,8.75,45.8089981079102,38,41751170000,0.797,0.64
ARG,2022,0.00362230233244035,0.0197927690289314,244,110,134,0.82089552238806,726162,2345.46020507813,6.82499980926514,46.2350006103516,75,52947830000,0.832,0.661
ARG,2023,0.00630652006174984,0.035855667276047,242,127,115,1.10434782608696,714464,5476.38916015625,6.125,46.6969985961914,100,,0.838,0.695
ARG,2024,0.00407538233149849,0.0258243086945028,246,124,122,1.01639344262295,689593,18062.45703125,8.14999961853027,47.1640014648438,32,,0.712,0.553
ARM,2012,0.000522656956794932,0.0116391275519308,253,114,139,0.820143884892086,3039694,110.17325592041,17.2999992370605,2.97000002861023,8,,0.352,0.202
ARM,2013,0.000642344750046389,0.00831678636798357,255,136,119,1.14285714285714,3143407,116.468215942383,16.2000007629395,2.98000001907349,7.75,,0.349,0.205
ARM,2014,0.0000452353463687591,0.00914223498909176,254,144,110,1.30909090909091,3256776,119.985290527344,17.6000003814697,2.98499989509583,8.5,,0.343,0.204
ARM,2015,0.000374560647569947,0.0115978459378195,255,126,129,0.976744186046512,3362748,124.41975402832,18.5,2.99000000953674,8.75,,0.345,0.204
ARM,2016,-0.0000724152332761177,0.0120670564051068,257,127,130,0.976923076923077,3369306,122.647758483887,18,2.99300003051758,6.25,,0.349,0.204
ARM,2017,0.000768561830197613,0.00666509023824796,253,125,128,0.9765625,3622609,123.800178527832,17.7999992370605,2.97900009155273,6,,0.382,0.221
ARM,2018,-0.000935599272322331,0.00993782994039352,255,131,124,1.05645161290323,3811884,126.911781311035,19,2.96900010108948,6,47810000,0.522,0.404
ARM,2019,0.00127605671323439,0.00980214804251876,255,111,144,0.770833333333333,4102782,128.827911376953,18.2999992370605,2.96300005912781,5.5,54960000,0.793,0.623
ARM,2020,0.000101780881812951,0.0198313177060934,257,136,121,1.12396694214876,3811286,130.372039794922,18.2000007629395,2.96199989318848,5.25,26950000,0.779,0.584
ARM,2021,0.00056465311461907,0.00833639215504623,258,132,126,1.04761904761905,4031183,139.766052246094,15.5,2.96199989318848,7.75,29520000,0.726,0.538
ARM,2022,-0.000587471629176494,0.0135360637161205,257,114,143,0.797202797202797,4537858,151.873962402344,13.5,2.9300000667572,10.75,252670000,0.65,0.443
ARM,2023,-0.0000151304178830984,0.0104726100006723,255,115,140,0.821428571428571,4915249,154.849212646484,12.6000003814697,2.96399998664856,10.25,,0.635,0.419
ARM,2024,-0.000403567893535747,0.00831553654610579,256,129,127,1.01574803149606,5212118,155.14762878418,13,2.96399998664856,,,0.623,0.414
AUS,1993,0.00117921027399946,0.00773635236197262,255,131,124,1.05645161290323,979984,63.4495315551758,10.8830003738403,17.7189998626709,4.75,204462770000,0.889,0.846
AUS,1994,-0.000512758045578137,0.00914764852995679,252,116,136,0.852941176470588,1027704,64.6722183227539,9.71700000762939,17.8929996490479,7.5,218865190000,0.889,0.846
AUS,1995,0.000589549999779821,0.00683889625666288,252,123,129,0.953488372093023,1057983,67.6638946533203,8.48299980163574,18.1200008392334,7.5,245218330000,0.889,0.846
AUS,1996,0.000370933075467029,0.00760214251239886,254,102,152,0.671052631578947,1100203,69.4589004516602,8.52499961853027,18.3299999237061,6,312477330000,0.889,0.847
AUS,1997,0.000319890913100954,0.0099500568237067,253,133,120,1.10833333333333,1151734,69.614990234375,8.36699962615967,18.5100002288818,5,295765570000,0.886,0.843
AUS,1998,0.000223840543965787,0.00975635065909737,254,141,113,1.24778761061947,1205898,70.2133178710938,7.69199991226196,18.7059993743897,4.75,328928480000,0.885,0.842
AUS,1999,0.000542870992186729,0.00790536854583677,253,114,139,0.820143884892086,1259181,71.2018737792969,6.86700010299683,18.9190006256104,5,427835360000,0.884,0.84
AUS,2000,0.000111517471003728,0.00893595687415004,251,126,125,1.008,1298139,74.3756484985352,6.29199981689453,19.1410007476807,6.25,372794350000,0.883,0.84
AUS,2001,0.000258835055084345,0.00823746676490187,252,124,128,0.96875,1331970,77.6534881591797,6.77500009536743,19.3859996795654,4.25,375130790000,0.882,0.839
AUS,2002,-0.000511212103795015,0.00716782294952489,253,127,126,1.00793650793651,1387413,80.0208129882813,6.35799980163574,19.6049995422363,4.75,380087000000,0.876,0.834
AUS,2003,0.000367137089751913,0.00626330404924781,253,121,132,0.916666666666667,1429345,82.2060394287109,5.94199991226196,19.8269996643066,5.25,585529690000,0.876,0.834
AUS,2004,0.000791518019422084,0.00424806493069092,259,131,128,1.0234375,1487990,84.1311111450195,5.38299989700317,20.0459995269775,5.25,776402760000,0.877,0.833
AUS,2005,0.000643240619336451,0.00620704478255202,252,130,122,1.0655737704918,1532984,86.3683700561523,5.03299999237061,20.3120002746582,5.5,804014820000,0.877,0.832
AUS,2006,0.000694062889245378,0.00843365160531421,251,123,128,0.9609375,1573277,89.4380798339844,4.79199981689453,20.6280002593994,6.25,1095857960000,0.877,0.832
AUS,2007,0.000441406038445343,0.0107700622996784,253,126,127,0.992125984251969,1641669,91.5452651977539,4.375,21.0160007476807,6.75,1298315040000,0.881,0.836
AUS,2008,-0.00209647803734749,0.0214880963669461,254,133,121,1.09917355371901,1683990,95.5254974365234,4.25,21.4759998321533,4.25,683871560000,0.89,0.85
AUS,2009,0.00105856449970297,0.0132670700031524,254,129,125,1.032,1717286,97.2164459228516,5.57499980926514,21.8659992218018,3.75,1261909340000,0.89,0.85
AUS,2010,-0.000103506074906112,0.00990170368046834,252,119,133,0.894736842105263,1758917,100,5.20800018310547,22.1720008850098,4.75,1454490570000,0.898,0.86
AUS,2011,-0.000634770905056077,0.0125105393931407,247,137,110,1.24545454545455,1807840,103.355880737305,5.08300018310547,22.5219993591309,4.25,1198187410000,0.903,0.864
AUS,2012,0.000543055515109458,0.00734723016654786,251,126,125,1.008,1876404,105.098854064941,5.23299980163574,22.92799949646,3,1386873960000,0.903,0.864
AUS,2013,0.000556741443158274,0.00783694135430437,253,126,127,0.992125984251969,1918221,107.674301147461,5.65799999237061,23.2980003356934,2.5,1365958130000,0.863,0.823
AUS,2014,0.0000433579001313766,0.0069264151425876,252,129,123,1.04878048780488,1967904,110.379814147949,6.05800008773804,23.6399993896484,2.5,1288708340000,0.857,0.815
AUS,2015,-0.0000846496095250453,0.0106951179365844,254,131,123,1.0650406504065,2014204,112.018730163574,6.05800008773804,23.9850006103516,2,1187083450000,0.872,0.829
AUS,2016,0.000266858301191783,0.00910166255679873,253,124,129,0.961240310077519,2068995,113.449531555176,5.7170000076294,24.3850002288818,1.5,1268493506774.29,0.872,0.832
AUS,2017,0.000271326607031226,0.00583536888491334,251,112,139,0.805755395683453,2119010,115.712799072266,5.60799980163574,24.7590007781982,1.5,1508462800000,0.868,0.825
AUS,2018,-0.000282738694719518,0.00707523750376337,253,125,128,0.9765625,2178934,117.950050354004,5.28299999237061,25.1459999084473,1.5,1262800270000,0.858,0.813
AUS,2019,0.000669497736861278,0.00690595783799867,252,119,133,0.894736842105263,2218720,119.797088623047,5.17500019073486,25.5200004577637,0.75,1487598500000,0.825,0.779
AUS,2020,-0.0000573269825331694,0.0188002854466088,255,137,118,1.16101694915254,2172089,120.889701843262,6.47499990463257,25.6310005187988,0.100000001490116,1720556180000,0.843,0.797
AUS,2021,0.000481794270432737,0.00721097230565258,254,112,142,0.788732394366197,2291104,124.271598815918,5.125,25.7709999084473,0.100000001490116,1887400790000,0.832,0.785
AUS,2022,-0.000223368241835565,0.0102903646761571,251,125,126,0.992063492063492,2380802,132.4921875,3.72499990463257,26.3159999847412,3.09999990463257,1679171930000,0.851,0.8
AUS,2023,0.000299656508697212,0.00687009144559624,252,112,140,0.8,2427438,139.932373046875,3.69199991226196,26.9669990539551,4.34999990463257,,0.855,0.804
AUS,2024,0.000284239837704707,0.00722451769504581,254,121,133,0.909774436090226,2457321,144.570251464844,4.15000009536743,27.3169994354248,4.34999990463257,,0.857,0.808
AUT,1993,0.00165418017700231,0.0105646498959225,249,131,118,1.11016949152542,230136,74.9573211669922,3.95799994468689,7.88299989700317,5.25,26238140000,0.863,0.788
AUT,1994,-0.000271650038184055,0.00857842716242196,248,125,123,1.01626016260163,235664,76.9895095825195,3.84999990463257,7.92899990081787,4.5,28819770000,0.862,0.787
AUT,1995,-0.000386975556312199,0.00857281186197392,245,108,137,0.788321167883212,241952,78.2301864624024,4.24200010299683,7.94799995422363,3.23000001907349,30617340000,0.861,0.782
AUT,1996,0.000691709458389477,0.00785175860850007,249,108,141,0.765957446808511,247754,79.6160202026367,4.7170000076294,7.95900011062622,2.5,31914600000,0.859,0.78
AUT,1997,0.00051526094326845,0.012861875108095,247,110,137,0.802919708029197,252941,80.5444717407227,4.75799989700317,7.96799993515015,2.5,36820060000,0.859,0.78
AUT,1998,-0.000584811134695527,0.0154635693339508,247,131,116,1.12931034482759,262000,81.2026977539063,4.70800018310547,7.97700023651123,2.5,2600180000,0.858,0.781
AUT,1999,0.000268093655777499,0.0103308469774939,248,127,121,1.0495867768595,271318,81.6217346191406,4.14200019836426,7.99200010299683,2.5,33022950000,0.859,0.782
AUT,2000,-0.000446199728243085,0.00984209747351635,246,123,123,1,280477,83.2184524536133,3.88299989700317,8.01200008392334,4.25,29935220000,0.862,0.789
AUT,2001,0.00024636556579204,0.00927859827930595,246,107,139,0.769784172661871,284031,85.1337890625,4.00799989700317,8.04199981689453,2.75,25204350000,0.862,0.789
AUT,2002,0.00003411884259932,0.00891982828406014,248,130,118,1.10169491525424,288722,86.5652694702149,4.39200019836426,8.08199977874756,2.38000011444092,33578130000,0.862,0.79
AUT,2003,0.00119560950067957,0.00740315607993507,247,125,122,1.02459016393443,291440,87.6918258666992,4.79199981689453,8.11800003051758,1.47000002861023,56522450000,0.863,0.791
AUT,2004,0.00181335176151233,0.00919871929186849,250,134,116,1.1551724137931,299411,89.4136199951172,5.86700010299683,8.16899967193604,1.47000002861023,87776270000,0.861,0.789
AUT,2005,0.00165694810050496,0.0084614585559366,248,128,120,1.06666666666667,306130,91.2933502197266,6.02500009536743,8.22500038146973,1.47000002861023,126251470000,0.859,0.788
AUT,2006,0.000798961221325697,0.0131314749815978,246,128,118,1.08474576271186,316704,92.8325576782227,5.5920000076294,8.26799964904785,2.67000007629395,192770310000,0.863,0.792
AUT,2007,0.0000446605113350926,0.0128954535543715,247,122,125,0.976,328509,94.8747863769531,5.19999980926514,8.29500007629395,3.19000005722046,236448390000,0.876,0.809
AUT,2008,-0.00378747099501296,0.0303491871829307,250,121,129,0.937984496124031,333307,97.9395065307617,4.44199991226196,8.32199954986572,2.09999990463257,76288700000,0.876,0.809
AUT,2009,0.0014291259688851,0.0226786605157819,248,109,139,0.784172661870504,320759,98.3366317749024,5.67500019073486,8.34099960327148,0.379999995231628,114076070000,0.876,0.809
AUT,2010,0.000609388526564486,0.0151341575504097,249,110,139,0.79136690647482,326651,100,5.20800018310547,8.36100006103516,0.379999995231628,126031960000,0.872,0.805
AUT,2011,-0.00172897406445256,0.0185372392805664,248,122,126,0.968253968253968,336199,103.542182922363,4.88299989700317,8.38899993896484,0.589999973773956,85269520000,0.872,0.806
AUT,2012,0.00096954231372968,0.0139092363285622,246,126,120,1.05,338486,106.201553344727,5.23299980163574,8.42599964141846,0.379999995231628,106036780000,0.872,0.806
AUT,2013,0.000236946893909135,0.0102507607590102,248,117,131,0.893129770992367,338573,108.451019287109,5.34999990463257,8.47700023651123,-0.119999997317791,117671410000,0.875,0.807
AUT,2014,-0.000666357474404782,0.0107282177357021,247,141,106,1.33018867924528,340812,110.04044342041,6.04199981689453,8.54399967193604,-0.119999997317791,96790330000,0.872,0.808
AUT,2015,0.000419546795119834,0.012702060537732,248,111,137,0.81021897810219,344269,110.931465148926,6.15799999237061,8.63000011444092,-0.119999997317791,96079380000,0.872,0.808
AUT,2016,0.000404597981264582,0.0138450370852348,248,125,123,1.01626016260163,351118,112.009635925293,6.47499990463257,8.73999977111816,-0.620000004768372,120976729936.549,0.848,0.781
